,property_id,check_in_date,room_id,successful_bookings,capacity,mmm yy,week no,occupancy_rate,property_name,is_weekend
25,18563,2022-05-01,RT2,21,29,May 22,19,72.0,Atliq Palace,1
26,17561,2022-05-01,RT2,32,36,May 22,19,89.0,Atliq Blu,1
27,17558,2022-05-01,RT2,38,50,May 22,19,76.0,Atliq Grands,1
28,16562,2022-05-01,RT2,30,43,May 22,19,70.0,Atliq Bay,1
29,16561,2022-05-01,RT2,24,24,May 22,19,100.0,Atliq Blu,1
30,16558,2022-05-01,RT2,21,22,May 22,19,95.0,Atliq Grands,1
31,19560,2022-05-01,RT2,37,38,May 22,19,97.0,Atliq City,1
32,16563,2022-05-01,RT2,37,38,May 22,19,97.0,Atliq Palace,1
33,16559,2022-05-01,RT2,35,41,May 22,19,85.0,Atliq Exotica,1
34,19559,2022-05-01,RT2,32,41,May 22,19,78.0,Atliq Exotica,1
35,19558,2022-05-01,RT2,25,39,May 22,19,64.0,Atliq Grands,1
36,17559,2022-05-01,RT2,34,39,May 22,19,87.0,Atliq Exotica,1
37,16560,2022-05-01,RT2,25,34,May 22,19,74.0,Atliq City,1
38,18562,2022-05-01,RT2,33,34,May 22,19,97.0,Atliq Bay,1
39,18559,2022-05-01,RT2,29,44,May 22,19,66.0,Atliq Exotica,1
40,17563,2022-05-01,RT2,40,44,May 22,19,91.0,Atliq Palace,1
41,17562,2022-05-01,RT2,19,30,May 22,19,63.0,Atliq Bay,1
42,18558,2022-05-01,RT2,21,30,May 22,19,70.0,Atliq Grands,1
43,17564,2022-05-01,RT2,25,40,May 22,19,62.0,Atliq Seasons,1
44,18561,2022-05-01,RT2,35,40,May 22,19,88.0,Atliq Blu,1
45,18560,2022-05-01,RT2,34,40,May 22,19,85.0,Atliq City,1
46,17560,2022-05-01,RT2,31,45,May 22,19,69.0,Atliq City,1
47,19561,2022-05-01,RT2,35,45,May 22,19,78.0,Atliq Blu,1
48,19563,2022-05-01,RT2,36,45,May 22,19,80.0,Atliq Palace,1
49,19563,2022-05-01,RT3,20,29,May 22,19,69.0,Atliq Palace,1
50,18560,2022-05-01,RT1,27,30,May 22,19,90.0,Atliq City,1
51,19562,2022-05-01,RT3,25,29,May 22,19,86.0,Atliq Bay,1
52,19561,2022-05-01,RT3,23,29,May 22,19,79.0,Atliq Blu,1
53,18562,2022-05-01,RT3,28,29,May 22,19,97.0,Atliq Bay,1
54,17558,2022-05-01,RT3,21,27,May 22,19,78.0,Atliq Grands,1
55,17562,2022-05-01,RT3,15,27,May 22,19,56.0,Atliq Bay,1
56,19559,2022-05-01,RT3,19,27,May 22,19,70.0,Atliq Exotica,1
57,16559,2022-05-01,RT3,27,32,May 22,19,84.0,Atliq Exotica,1
58,17560,2022-05-01,RT3,19,25,May 22,19,76.0,Atliq City,1
59,18561,2022-05-01,RT3,23,25,May 22,19,92.0,Atliq Blu,1
60,16561,2022-05-01,RT3,21,21,May 22,19,100.0,Atliq Blu,1
61,16563,2022-05-01,RT3,17,20,May 22,19,85.0,Atliq Palace,1
62,17561,2022-05-01,RT3,16,19,May 22,19,84.0,Atliq Blu,1
63,18558,2022-05-01,RT3,18,26,May 22,19,69.0,Atliq Grands,1
64,18560,2022-05-01,RT3,21,24,May 22,19,88.0,Atliq City,1
65,18563,2022-05-01,RT3,16,23,May 22,19,70.0,Atliq Palace,1
66,19560,2022-05-01,RT3,16,19,May 22,19,84.0,Atliq City,1
67,17564,2022-05-01,RT3,16,24,May 22,19,67.0,Atliq Seasons,1
68,16560,2022-05-01,RT3,15,20,May 22,19,75.0,Atliq City,1
69,16558,2022-05-01,RT3,8,8,May 22,19,100.0,Atliq Grands,1
70,19558,2022-05-01,RT3,13,21,May 22,19,62.0,Atliq Grands,1
71,16562,2022-05-01,RT3,14,18,May 22,19,78.0,Atliq Bay,1
72,17559,2022-05-01,RT3,14,16,May 22,19,88.0,Atliq Exotica,1
73,17563,2022-05-01,RT3,14,16,May 22,19,88.0,Atliq Palace,1
74,18559,2022-05-01,RT3,14,23,May 22,19,61.0,Atliq Exotica,1
75,19559,2022-05-01,RT4,2,3,May 22,19,67.0,Atliq Exotica,1
76,16562,2022-05-01,RT4,4,6,May 22,19,67.0,Atliq Bay,1
77,17558,2022-05-01,RT4,4,6,May 22,19,67.0,Atliq Grands,1
78,17562,2022-05-01,RT4,4,6,May 22,19,67.0,Atliq Bay,1
79,19563,2022-05-01,RT4,4,6,May 22,19,67.0,Atliq Palace,1
80,19558,2022-05-01,RT4,4,7,May 22,19,57.0,Atliq Grands,1
81,19561,2022-05-01,RT4,5,7,May 22,19,71.0,Atliq Blu,1
82,16560,2022-05-01,RT4,6,7,May 22,19,86.0,Atliq City,1
83,16561,2022-05-01,RT4,9,10,May 22,19,90.0,Atliq Blu,1
84,17560,2022-05-01,RT4,10,13,May 22,19,77.0,Atliq City,1
85,18561,2022-05-01,RT4,8,9,May 22,19,89.0,Atliq Blu,1
86,17564,2022-05-01,RT4,9,17,May 22,19,53.0,Atliq Seasons,1
87,18560,2022-05-01,RT4,14,15,May 22,19,93.0,Atliq City,1
88,19560,2022-05-01,RT4,15,16,May 22,19,94.0,Atliq City,1
89,18559,2022-05-01,RT4,11,19,May 22,19,58.0,Atliq Exotica,1
90,17563,2022-05-01,RT4,17,19,May 22,19,89.0,Atliq Palace,1
91,19562,2022-05-01,RT4,13,14,May 22,19,93.0,Atliq Bay,1
92,17559,2022-05-01,RT4,13,14,May 22,19,93.0,Atliq Exotica,1
93,18558,2022-05-01,RT4,14,20,May 22,19,70.0,Atliq Grands,1
94,18562,2022-05-01,RT4,19,20,May 22,19,95.0,Atliq Bay,1
95,18563,2022-05-01,RT4,13,18,May 22,19,72.0,Atliq Palace,1
96,16563,2022-05-01,RT4,17,18,May 22,19,94.0,Atliq Palace,1
97,16559,2022-05-01,RT4,17,18,May 22,19,94.0,Atliq Exotica,1
98,17561,2022-05-01,RT4,3,4,May 22,19,75.0,Atliq Blu,1
99,16558,2022-05-01,RT4,3,3,May 22,19,100.0,Atliq Grands,1
100,16559,2022-05-02,RT1,20,30,May 22,19,67.0,Atliq Exotica,0
101,18560,2022-05-02,RT1,21,30,May 22,19,70.0,Atliq City,0
102,19562,2022-05-02,RT1,20,30,May 22,19,67.0,Atliq Bay,0
103,19563,2022-05-02,RT1,14,30,May 22,19,47.0,Atliq Palace,0
104,17558,2022-05-02,RT1,10,19,May 22,19,53.0,Atliq Grands,0
105,16558,2022-05-02,RT1,12,19,May 22,19,63.0,Atliq Grands,0
106,17560,2022-05-02,RT1,22,40,May 22,19,55.0,Atliq City,0
107,19558,2022-05-02,RT1,16,40,May 22,19,40.0,Atliq Grands,0
108,19560,2022-05-02,RT1,14,26,May 22,19,54.0,Atliq City,0
109,17561,2022-05-02,RT1,15,26,May 22,19,58.0,Atliq Blu,0
110,16560,2022-05-02,RT1,17,34,May 22,19,50.0,Atliq City,0
111,16561,2022-05-02,RT1,11,18,May 22,19,61.0,Atliq Blu,0
112,16562,2022-05-02,RT1,17,31,May 22,19,55.0,Atliq Bay,0
113,16563,2022-05-02,RT1,25,41,May 22,19,61.0,Atliq Palace,0
114,17559,2022-05-02,RT1,20,32,May 22,19,62.0,Atliq Exotica,0
115,17562,2022-05-02,RT1,9,20,May 22,19,45.0,Atliq Bay,0
116,17563,2022-05-02,RT1,15,25,May 22,19,60.0,Atliq Palace,0
117,18558,2022-05-02,RT1,8,15,May 22,19,53.0,Atliq Grands,0
118,18559,2022-05-02,RT1,17,42,May 22,19,40.0,Atliq Exotica,0
119,18561,2022-05-02,RT1,24,33,May 22,19,73.0,Atliq Blu,0
120,18562,2022-05-02,RT1,22,38,May 22,19,58.0,Atliq Bay,0
121,18563,2022-05-02,RT1,14,27,May 22,19,52.0,Atliq Palace,0
122,19559,2022-05-02,RT1,13,24,May 22,19,54.0,Atliq Exotica,0
123,19561,2022-05-02,RT1,20,36,May 22,19,56.0,Atliq Blu,0
124,17564,2022-05-02,RT1,7,16,May 22,19,44.0,Atliq Seasons,0
125,19562,2022-05-02,RT2,15,23,May 22,19,65.0,Atliq Bay,0
126,18563,2022-05-02,RT2,15,29,May 22,19,52.0,Atliq Palace,0
127,17561,2022-05-02,RT2,23,36,May 22,19,64.0,Atliq Blu,0
128,17558,2022-05-02,RT2,27,50,May 22,19,54.0,Atliq Grands,0
129,16562,2022-05-02,RT2,21,43,May 22,19,49.0,Atliq Bay,0
130,16561,2022-05-02,RT2,16,24,May 22,19,67.0,Atliq Blu,0
131,16558,2022-05-02,RT2,14,22,May 22,19,64.0,Atliq Grands,0
132,19560,2022-05-02,RT2,21,38,May 22,19,55.0,Atliq City,0
133,16563,2022-05-02,RT2,23,38,May 22,19,61.0,Atliq Palace,0
134,16559,2022-05-02,RT2,23,41,May 22,19,56.0,Atliq Exotica,0
135,19559,2022-05-02,RT2,19,41,May 22,19,46.0,Atliq Exotica,0
136,19558,2022-05-02,RT2,17,39,May 22,19,44.0,Atliq Grands,0
137,17559,2022-05-02,RT2,26,39,May 22,19,67.0,Atliq Exotica,0
138,16560,2022-05-02,RT2,17,34,May 22,19,50.0,Atliq City,0
139,18562,2022-05-02,RT2,17,34,May 22,19,50.0,Atliq Bay,0
140,18559,2022-05-02,RT2,18,44,May 22,19,41.0,Atliq Exotica,0
141,17563,2022-05-02,RT2,28,44,May 22,19,64.0,Atliq Palace,0
142,17562,2022-05-02,RT2,14,30,May 22,19,47.0,Atliq Bay,0
143,18558,2022-05-02,RT2,14,30,May 22,19,47.0,Atliq Grands,0
144,17564,2022-05-02,RT2,16,40,May 22,19,40.0,Atliq Seasons,0
145,18561,2022-05-02,RT2,25,40,May 22,19,62.0,Atliq Blu,0
146,18560,2022-05-02,RT2,26,40,May 22,19,65.0,Atliq City,0
147,17560,2022-05-02,RT2,23,45,May 22,19,51.0,Atliq City,0
148,19561,2022-05-02,RT2,22,45,May 22,19,49.0,Atliq Blu,0
149,19563,2022-05-02,RT2,20,45,May 22,19,44.0,Atliq Palace,0
150,19563,2022-05-02,RT3,14,29,May 22,19,48.0,Atliq Palace,0
151,19562,2022-05-02,RT3,18,29,May 22,19,62.0,Atliq Bay,0
152,19561,2022-05-02,RT3,17,29,May 22,19,59.0,Atliq Blu,0
153,18562,2022-05-02,RT3,18,29,May 22,19,62.0,Atliq Bay,0
154,17558,2022-05-02,RT3,12,27,May 22,19,44.0,Atliq Grands,0
155,17562,2022-05-02,RT3,12,27,May 22,19,44.0,Atliq Bay,0
156,19559,2022-05-02,RT3,14,27,May 22,19,52.0,Atliq Exotica,0
157,16559,2022-05-02,RT3,20,32,May 22,19,62.0,Atliq Exotica,0
158,16558,2022-05-02,RT3,5,8,May 22,19,62.0,Atliq Grands,0
159,18561,2022-05-02,RT3,18,25,May 22,19,72.0,Atliq Blu,0
160,18558,2022-05-02,RT3,15,26,May 22,19,58.0,Atliq Grands,0
161,16561,2022-05-02,RT3,13,21,May 22,19,62.0,Atliq Blu,0
162,16563,2022-05-02,RT3,13,20,May 22,19,65.0,Atliq Palace,0
163,17560,2022-05-02,RT3,13,25,May 22,19,52.0,Atliq City,0
164,18560,2022-05-02,RT3,14,24,May 22,19,58.0,Atliq City,0
165,17559,2022-05-02,RT3,9,16,May 22,19,56.0,Atliq Exotica,0
166,17563,2022-05-02,RT3,9,16,May 22,19,56.0,Atliq Palace,0
167,18559,2022-05-02,RT3,9,23,May 22,19,39.0,Atliq Exotica,0
168,19558,2022-05-02,RT3,9,21,May 22,19,43.0,Atliq Grands,0
169,17564,2022-05-02,RT3,9,24,May 22,19,38.0,Atliq Seasons,0
170,16560,2022-05-02,RT3,10,20,May 22,19,50.0,Atliq City,0
171,17561,2022-05-02,RT3,10,19,May 22,19,53.0,Atliq Blu,0
172,16562,2022-05-02,RT3,11,18,May 22,19,61.0,Atliq Bay,0
173,18563,2022-05-02,RT3,11,23,May 22,19,48.0,Atliq Palace,0
174,19560,2022-05-02,RT3,11,19,May 22,19,58.0,Atliq City,0
175,19559,2022-05-02,RT4,2,3,May 22,19,67.0,Atliq Exotica,0
176,16558,2022-05-02,RT4,2,3,May 22,19,67.0,Atliq Grands,0
177,17558,2022-05-02,RT4,4,6,May 22,19,67.0,Atliq Grands,0
178,19563,2022-05-02,RT4,4,6,May 22,19,67.0,Atliq Palace,0
179,19558,2022-05-02,RT4,4,7,May 22,19,57.0,Atliq Grands,0
180,19561,2022-05-02,RT4,4,7,May 22,19,57.0,Atliq Blu,0
181,18561,2022-05-02,RT4,5,9,May 22,19,56.0,Atliq Blu,0
182,16561,2022-05-02,RT4,6,10,May 22,19,60.0,Atliq Blu,0
183,17560,2022-05-02,RT4,6,13,May 22,19,46.0,Atliq City,0
184,17564,2022-05-02,RT4,6,17,May 22,19,35.0,Atliq Seasons,0
185,18560,2022-05-02,RT4,11,15,May 22,19,73.0,Atliq City,0
186,19560,2022-05-02,RT4,11,16,May 22,19,69.0,Atliq City,0
187,18559,2022-05-02,RT4,9,19,May 22,19,47.0,Atliq Exotica,0
188,17563,2022-05-02,RT4,12,19,May 22,19,63.0,Atliq Palace,0
189,19562,2022-05-02,RT4,8,14,May 22,19,57.0,Atliq Bay,0
190,17559,2022-05-02,RT4,8,14,May 22,19,57.0,Atliq Exotica,0
191,18558,2022-05-02,RT4,10,20,May 22,19,50.0,Atliq Grands,0
192,18562,2022-05-02,RT4,12,20,May 22,19,60.0,Atliq Bay,0
193,18563,2022-05-02,RT4,11,18,May 22,19,61.0,Atliq Palace,0
194,16563,2022-05-02,RT4,12,18,May 22,19,67.0,Atliq Palace,0
195,16559,2022-05-02,RT4,12,18,May 22,19,67.0,Atliq Exotica,0
196,16562,2022-05-02,RT4,3,6,May 22,19,50.0,Atliq Bay,0
197,17562,2022-05-02,RT4,3,6,May 22,19,50.0,Atliq Bay,0
198,16560,2022-05-02,RT4,3,7,May 22,19,43.0,Atliq City,0
199,17561,2022-05-02,RT4,3,4,May 22,19,75.0,Atliq Blu,0
200,19563,2022-05-03,RT3,15,29,May 22,19,52.0,Atliq Palace,0
201,16559,2022-05-03,RT1,17,30,May 22,19,57.0,Atliq Exotica,0
202,18560,2022-05-03,RT1,19,30,May 22,19,63.0,Atliq City,0
203,19562,2022-05-03,RT1,19,30,May 22,19,63.0,Atliq Bay,0
204,19563,2022-05-03,RT1,15,30,May 22,19,50.0,Atliq Palace,0
205,17558,2022-05-03,RT1,9,19,May 22,19,47.0,Atliq Grands,0
206,16558,2022-05-03,RT1,14,19,May 22,19,74.0,Atliq Grands,0
207,17560,2022-05-03,RT1,19,40,May 22,19,48.0,Atliq City,0
208,19558,2022-05-03,RT1,20,40,May 22,19,50.0,Atliq Grands,0
209,19560,2022-05-03,RT1,14,26,May 22,19,54.0,Atliq City,0
210,17561,2022-05-03,RT1,16,26,May 22,19,62.0,Atliq Blu,0
211,16560,2022-05-03,RT1,19,34,May 22,19,56.0,Atliq City,0
212,16561,2022-05-03,RT1,10,18,May 22,19,56.0,Atliq Blu,0
213,16562,2022-05-03,RT1,14,31,May 22,19,45.0,Atliq Bay,0
214,16563,2022-05-03,RT1,25,41,May 22,19,61.0,Atliq Palace,0
215,17559,2022-05-03,RT1,20,32,May 22,19,62.0,Atliq Exotica,0
216,17562,2022-05-03,RT1,10,20,May 22,19,50.0,Atliq Bay,0
217,17563,2022-05-03,RT1,16,25,May 22,19,64.0,Atliq Palace,0
218,18558,2022-05-03,RT1,8,15,May 22,19,53.0,Atliq Grands,0
219,18559,2022-05-03,RT1,18,42,May 22,19,43.0,Atliq Exotica,0
220,18561,2022-05-03,RT1,19,33,May 22,19,58.0,Atliq Blu,0
221,18562,2022-05-03,RT1,23,38,May 22,19,61.0,Atliq Bay,0
222,18563,2022-05-03,RT1,13,27,May 22,19,48.0,Atliq Palace,0
223,19559,2022-05-03,RT1,12,24,May 22,19,50.0,Atliq Exotica,0
224,19561,2022-05-03,RT1,20,36,May 22,19,56.0,Atliq Blu,0
225,17564,2022-05-03,RT1,6,16,May 22,19,38.0,Atliq Seasons,0
226,19562,2022-05-03,RT2,14,23,May 22,19,61.0,Atliq Bay,0
227,18563,2022-05-03,RT2,14,29,May 22,19,48.0,Atliq Palace,0
228,17561,2022-05-03,RT2,23,36,May 22,19,64.0,Atliq Blu,0
229,17558,2022-05-03,RT2,26,50,May 22,19,52.0,Atliq Grands,0
230,16562,2022-05-03,RT2,19,43,May 22,19,44.0,Atliq Bay,0
231,16561,2022-05-03,RT2,16,24,May 22,19,67.0,Atliq Blu,0
232,16558,2022-05-03,RT2,14,22,May 22,19,64.0,Atliq Grands,0
233,19560,2022-05-03,RT2,25,38,May 22,19,66.0,Atliq City,0
234,16563,2022-05-03,RT2,24,38,May 22,19,63.0,Atliq Palace,0
235,16559,2022-05-03,RT2,26,41,May 22,19,63.0,Atliq Exotica,0
236,19559,2022-05-03,RT2,22,41,May 22,19,54.0,Atliq Exotica,0
237,19558,2022-05-03,RT2,16,39,May 22,19,41.0,Atliq Grands,0
238,17559,2022-05-03,RT2,24,39,May 22,19,62.0,Atliq Exotica,0
239,16560,2022-05-03,RT2,16,34,May 22,19,47.0,Atliq City,0
240,18562,2022-05-03,RT2,22,34,May 22,19,65.0,Atliq Bay,0
241,18559,2022-05-03,RT2,19,44,May 22,19,43.0,Atliq Exotica,0
242,17563,2022-05-03,RT2,30,44,May 22,19,68.0,Atliq Palace,0
243,17562,2022-05-03,RT2,15,30,May 22,19,50.0,Atliq Bay,0
244,18558,2022-05-03,RT2,16,30,May 22,19,53.0,Atliq Grands,0
245,17564,2022-05-03,RT2,16,40,May 22,19,40.0,Atliq Seasons,0
246,18561,2022-05-03,RT2,25,40,May 22,19,62.0,Atliq Blu,0
247,18560,2022-05-03,RT2,25,40,May 22,19,62.0,Atliq City,0
248,17560,2022-05-03,RT2,22,45,May 22,19,49.0,Atliq City,0
249,19561,2022-05-03,RT2,21,45,May 22,19,47.0,Atliq Blu,0
250,19563,2022-05-03,RT2,23,45,May 22,19,51.0,Atliq Palace,0
251,19562,2022-05-03,RT3,18,29,May 22,19,62.0,Atliq Bay,0
252,19561,2022-05-03,RT3,14,29,May 22,19,48.0,Atliq Blu,0
253,18562,2022-05-03,RT3,17,29,May 22,19,59.0,Atliq Bay,0
254,17558,2022-05-03,RT3,15,27,May 22,19,56.0,Atliq Grands,0
255,17562,2022-05-03,RT3,12,27,May 22,19,44.0,Atliq Bay,0
256,19559,2022-05-03,RT3,14,27,May 22,19,52.0,Atliq Exotica,0
257,16559,2022-05-03,RT3,21,32,May 22,19,66.0,Atliq Exotica,0
258,16558,2022-05-03,RT3,5,8,May 22,19,62.0,Atliq Grands,0
259,18561,2022-05-03,RT3,15,25,May 22,19,60.0,Atliq Blu,0
260,18560,2022-05-03,RT3,15,24,May 22,19,62.0,Atliq City,0
261,16562,2022-05-03,RT3,8,18,May 22,19,44.0,Atliq Bay,0
262,16561,2022-05-03,RT3,13,21,May 22,19,62.0,Atliq Blu,0
263,16563,2022-05-03,RT3,13,20,May 22,19,65.0,Atliq Palace,0
264,18558,2022-05-03,RT3,13,26,May 22,19,50.0,Atliq Grands,0
265,18559,2022-05-03,RT3,9,23,May 22,19,39.0,Atliq Exotica,0
266,19558,2022-05-03,RT3,9,21,May 22,19,43.0,Atliq Grands,0
267,16560,2022-05-03,RT3,10,20,May 22,19,50.0,Atliq City,0
268,17559,2022-05-03,RT3,10,16,May 22,19,62.0,Atliq Exotica,0
269,17563,2022-05-03,RT3,10,16,May 22,19,62.0,Atliq Palace,0
270,17561,2022-05-03,RT3,12,19,May 22,19,63.0,Atliq Blu,0
271,19560,2022-05-03,RT3,12,19,May 22,19,63.0,Atliq City,0
272,17560,2022-05-03,RT3,11,25,May 22,19,44.0,Atliq City,0
273,18563,2022-05-03,RT3,11,23,May 22,19,48.0,Atliq Palace,0
274,17564,2022-05-03,RT3,11,24,May 22,19,46.0,Atliq Seasons,0
275,17562,2022-05-03,RT4,2,6,May 22,19,33.0,Atliq Bay,0
276,16558,2022-05-03,RT4,2,3,May 22,19,67.0,Atliq Grands,0
277,19563,2022-05-03,RT4,4,6,May 22,19,67.0,Atliq Palace,0
278,19561,2022-05-03,RT4,4,7,May 22,19,57.0,Atliq Blu,0
279,18561,2022-05-03,RT4,5,9,May 22,19,56.0,Atliq Blu,0
280,16561,2022-05-03,RT4,7,10,May 22,19,70.0,Atliq Blu,0
281,17560,2022-05-03,RT4,7,13,May 22,19,54.0,Atliq City,0
282,19559,2022-05-03,RT4,1,3,May 22,19,33.0,Atliq Exotica,0
283,17564,2022-05-03,RT4,7,17,May 22,19,41.0,Atliq Seasons,0
284,18560,2022-05-03,RT4,9,15,May 22,19,60.0,Atliq City,0
285,19560,2022-05-03,RT4,10,16,May 22,19,62.0,Atliq City,0
286,18559,2022-05-03,RT4,9,19,May 22,19,47.0,Atliq Exotica,0
287,17563,2022-05-03,RT4,11,19,May 22,19,58.0,Atliq Palace,0
288,19562,2022-05-03,RT4,9,14,May 22,19,64.0,Atliq Bay,0
289,17559,2022-05-03,RT4,10,14,May 22,19,71.0,Atliq Exotica,0
290,18558,2022-05-03,RT4,10,20,May 22,19,50.0,Atliq Grands,0
291,18562,2022-05-03,RT4,12,20,May 22,19,60.0,Atliq Bay,0
292,18563,2022-05-03,RT4,8,18,May 22,19,44.0,Atliq Palace,0
293,16563,2022-05-03,RT4,11,18,May 22,19,61.0,Atliq Palace,0
294,16559,2022-05-03,RT4,11,18,May 22,19,61.0,Atliq Exotica,0
295,16562,2022-05-03,RT4,3,6,May 22,19,50.0,Atliq Bay,0
296,17558,2022-05-03,RT4,3,6,May 22,19,50.0,Atliq Grands,0
297,16560,2022-05-03,RT4,3,7,May 22,19,43.0,Atliq City,0
298,19558,2022-05-03,RT4,3,7,May 22,19,43.0,Atliq Grands,0
299,17561,2022-05-03,RT4,3,4,May 22,19,75.0,Atliq Blu,0
300,19563,2022-05-04,RT3,15,29,May 22,19,52.0,Atliq Palace,0
301,18560,2022-05-04,RT1,20,30,May 22,19,67.0,Atliq City,0
302,19562,2022-05-04,RT1,17,30,May 22,19,57.0,Atliq Bay,0
303,19563,2022-05-04,RT1,14,30,May 22,19,47.0,Atliq Palace,0
304,17558,2022-05-04,RT1,9,19,May 22,19,47.0,Atliq Grands,0
305,16558,2022-05-04,RT1,13,19,May 22,19,68.0,Atliq Grands,0
306,17560,2022-05-04,RT1,22,40,May 22,19,55.0,Atliq City,0
307,19558,2022-05-04,RT1,15,40,May 22,19,38.0,Atliq Grands,0
308,19560,2022-05-04,RT1,16,26,May 22,19,62.0,Atliq City,0
309,17561,2022-05-04,RT1,15,26,May 22,19,58.0,Atliq Blu,0
310,16560,2022-05-04,RT1,17,34,May 22,19,50.0,Atliq City,0
311,16561,2022-05-04,RT1,11,18,May 22,19,61.0,Atliq Blu,0
312,16562,2022-05-04,RT1,16,31,May 22,19,52.0,Atliq Bay,0
313,16563,2022-05-04,RT1,28,41,May 22,19,68.0,Atliq Palace,0
314,17559,2022-05-04,RT1,19,32,May 22,19,59.0,Atliq Exotica,0
315,17562,2022-05-04,RT1,9,20,May 22,19,45.0,Atliq Bay,0
316,17563,2022-05-04,RT1,16,25,May 22,19,64.0,Atliq Palace,0
317,18558,2022-05-04,RT1,7,15,May 22,19,47.0,Atliq Grands,0
318,18559,2022-05-04,RT1,18,42,May 22,19,43.0,Atliq Exotica,0
319,18561,2022-05-04,RT1,22,33,May 22,19,67.0,Atliq Blu,0
320,18562,2022-05-04,RT1,25,38,May 22,19,66.0,Atliq Bay,0
321,18563,2022-05-04,RT1,16,27,May 22,19,59.0,Atliq Palace,0
322,19559,2022-05-04,RT1,12,24,May 22,19,50.0,Atliq Exotica,0
323,19561,2022-05-04,RT1,16,36,May 22,19,44.0,Atliq Blu,0
324,17564,2022-05-04,RT1,7,16,May 22,19,44.0,Atliq Seasons,0
325,19562,2022-05-04,RT2,14,23,May 22,19,61.0,Atliq Bay,0
326,18563,2022-05-04,RT2,16,29,May 22,19,55.0,Atliq Palace,0
327,17561,2022-05-04,RT2,21,36,May 22,19,58.0,Atliq Blu,0
328,17558,2022-05-04,RT2,27,50,May 22,19,54.0,Atliq Grands,0
329,16562,2022-05-04,RT2,21,43,May 22,19,49.0,Atliq Bay,0
330,16561,2022-05-04,RT2,15,24,May 22,19,62.0,Atliq Blu,0
331,16558,2022-05-04,RT2,14,22,May 22,19,64.0,Atliq Grands,0
332,19560,2022-05-04,RT2,21,38,May 22,19,55.0,Atliq City,0
333,16563,2022-05-04,RT2,23,38,May 22,19,61.0,Atliq Palace,0
334,16559,2022-05-04,RT2,28,41,May 22,19,68.0,Atliq Exotica,0
335,19559,2022-05-04,RT2,22,41,May 22,19,54.0,Atliq Exotica,0
336,19558,2022-05-04,RT2,18,39,May 22,19,46.0,Atliq Grands,0
337,17559,2022-05-04,RT2,23,39,May 22,19,59.0,Atliq Exotica,0
338,16560,2022-05-04,RT2,20,34,May 22,19,59.0,Atliq City,0
339,18562,2022-05-04,RT2,22,34,May 22,19,65.0,Atliq Bay,0
340,18559,2022-05-04,RT2,19,44,May 22,19,43.0,Atliq Exotica,0
341,17563,2022-05-04,RT2,29,44,May 22,19,66.0,Atliq Palace,0
342,17562,2022-05-04,RT2,11,30,May 22,19,37.0,Atliq Bay,0
343,18558,2022-05-04,RT2,16,30,May 22,19,53.0,Atliq Grands,0
344,17564,2022-05-04,RT2,18,40,May 22,19,45.0,Atliq Seasons,0
345,18561,2022-05-04,RT2,25,40,May 22,19,62.0,Atliq Blu,0
346,18560,2022-05-04,RT2,28,40,May 22,19,70.0,Atliq City,0
347,17560,2022-05-04,RT2,20,45,May 22,19,44.0,Atliq City,0
